Nome,Nota,Data,Genêros,Material Fonte,Tipo,Número de episódios,Classificação,Posicionamento no ranking,Posicionamento de popularidade,Número de membros,Favoritos,Foto,Sinopse
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.61,"Apr 11, 2020 to Jun 27, 2020","['Comedy', 'Romance']",Manga,TV,12,PG-13 - Teens 13 or older,#108,#96,"1,494,794","19,048",https://myanimelist.net/images/anime/1764/106659.jpg,"After a slow but eventful summer vacation, Shuchiin Academy's second term is now starting in full force. As August transitions into September, Miyuki Shirogane's birthday looms ever closer, leaving Kaguya Shinomiya in a serious predicament as to how to celebrate it. Furthermore, the tenure of the school's 67th student council is coming to an end. Due to the council members being in different classes, the only time Kaguya and Miyuki have to be together will soon disappear, putting all of their cunning plans at risk.

A long and difficult election that will decide the fate of the new student council awaits, as multiple challengers fight for the coveted title of president.

[Written by MAL Rewrite]"
Kenpuu Denki Berserk,8.61,"Oct 8, 1997 to Apr 1, 1998","['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",Manga,TV,25,R+ - Mild Nudity,#109,#304,"763,006","31,523",https://myanimelist.net/images/anime/1384/119988.jpg,"Guts, a man who will one day be known as the Black Swordsman, is a young traveling mercenary characterized by the large greatsword he carries. He accepts jobs that offer the most money, but he never stays with one group for long—until he encounters the Band of the Falcon. Ambushed after completing a job, Guts crushes many of its members in combat. Griffith, The Band of the Falcon's leader and founder, takes an interest in Guts and duels him. While the others are no match for Guts, Griffith defeats him in one blow.

Incapacitated and taken into the Band of the Falcon's camp to recover, Guts wakes up two days later. He confronts Griffith, and the two duel yet again, only this time with a condition: Guts will join the Band of the Falcon if he loses. Due to his fresh injuries, Guts loses the fight and is inducted by Griffith.

In three years' time, Guts has become one of the Band of the Falcon's commanders. On the battlefield, his combat prowess is second only to Griffith as he takes on large groups of enemies all on his own. With Guts' immense strength and Griffith's leadership, the Band of the Falcon dominate every battle they partake in. But something menacing lurks in the shadows, threatening to change Guts' life forever.

[Written by MAL Rewrite]"
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.61,"Oct 4, 2021 to Dec 20, 2021","['Adventure', 'Drama', 'Fantasy', 'Ecchi']",Light novel,TV,12,R - 17+ (violence & profanity),#110,#160,"1,113,770","19,220",https://myanimelist.net/images/anime/1028/117777.jpg,"After the mysterious mana calamity, Rudeus Greyrat and his fierce student Eris Boreas Greyrat are teleported to the Demon Continent. There, they team up with their newfound companion Ruijerd Supardia—the former leader of the Superd's Warrior group—to form ""Dead End,"" a successful adventurer party. Making a name for themselves, the trio journeys across the continent to make their way back home to Fittoa.

Following the advice he received from the faceless god Hitogami, Rudeus saves Kishirika Kishirisu, the Great Emperor of the Demon World, who rewards him by granting him a strange power. Now, as Rudeus masters the powerful ability that offers a number of new opportunities, it might prove to be more than what he bargained for when unexpected dangers threaten to hinder their travels.

[Written by MAL Rewrite]"
Gintama': Enchousen,9.02,"Oct 4, 2012 to Mar 28, 2013","['Action', 'Comedy', 'Sci-Fi']",Manga,TV,13,PG-13 - Teens 13 or older,#12,#762,"357,364","3,179",https://myanimelist.net/images/anime/1452/123686.jpg,"While Gintoki Sakata was away, the Yorozuya found themselves a new leader: Kintoki, Gintoki's golden-haired doppelganger. In order to regain his former position, Gintoki will need the help of those around him, a troubling feat when no one can remember him! Between Kintoki and Gintoki, who will claim the throne as the main character?

In addition, Yorozuya make a trip back down to red-light district of Yoshiwara to aid an elderly courtesan in her search for her long-lost lover. Although the district is no longer in chains beneath the earth's surface, the trio soon learn of the tragic backstories of Yoshiwara's inhabitants that still haunt them. With flashback after flashback, this quest has Yorozuya witnessing everlasting love and protecting it as best they can with their hearts and souls.

[Written by MAL Rewrite]"
Natsume Yuujinchou Roku,8.61,"Apr 12, 2017 to Jun 21, 2017","['Slice of Life', 'Supernatural']",Manga,TV,11,PG-13 - Teens 13 or older,#111,#1354,"205,585","1,158",https://myanimelist.net/images/anime/6/84416.jpg,"Takashi Natsume has grown accustomed to his encounters with youkai through the Book of Friends, which contains the names of youkai whom his grandmother, Reiko Natsume, has sealed in contracts. These encounters allow Natsume to better understand the youkai, Reiko, and himself. 

The Book of Friends is a powerful tool that can be used to control youkai; it is sought after by both youkai and exorcists alike. Natsume just wants to live out his daily life in peace but is constantly disrupted by these experiences. If he is to end this torment, Natsume must explore more about the book and the world of exorcism, as well as begin to open his heart to those who can help him.

[Written by MAL Rewrite]"
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.61,"Apr 22, 2009",['Sci-Fi'],Original,Movie,1,R+ - Mild Nudity,#112,#1183,"238,346","1,213",https://myanimelist.net/images/anime/12/19698.jpg,"Humans have enjoyed their lavish, peaceful, and prosperous lives for seven years since the day the almighty Spiral King was defeated—the day they reclaimed their homeland, Earth. However, the boon of this lifestyle leaves them unprepared when an unknown, hostile threat arises due to the ever-growing human population. This calamity is the Anti-Spiral—a fearsome enemy with unparalleled power. 

As the Spiral King's prognosis postulating the destruction of ""The Spiral's World"" begins to come true, the pieces are in place, and Team Dai-Gurren is ready. With his late brother's hope to see a better future for mankind, Simon—along with Nia Teppelin and the rest of the team—is determined to overthrow the mighty Anti-Spiral in order to revive humanity's lost hope.

[Written by MAL Rewrite]"
Chiikawa,8.60,"Apr 4, 2022 to ?",['Slice of Life'],Web manga,TV,Unknown,G - All Ages,#113,#5511,"19,948",680,https://myanimelist.net/images/anime/1783/121944.jpg,"What's a Chiikawa? No one really knows, but everyone can see they're small, they're cute, and they're always having a fun time! Join them as they explore their surreal world with the sharp humor and clever antics that make the Chiikawa irresistible.

(Source: HIDIVE, edited)"
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.60,"Jan 17, 2020","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",Web manga,Movie,1,R - 17+ (violence & profanity),#114,#469,"535,590","3,972",https://myanimelist.net/images/anime/1803/117183.jpg,"After bonding over a tragic loss, the long-suffering Nanachi joins Riko and Reg on their journey into the depths of the Abyss. Awaiting the children is the Sea of Corpses—the Abyss's fifth layer, and the deepest level from which a traveler can return without losing their human form.

The masked sadist Bondrewd stands between the children and the rest of their adventure. Bondrewd's horrific laboratory serves as a final checkpoint for those wishing to traverse deeper into the Abyss, and the sociopathic scientist has no desire to allow Riko's party to pass through at no cost. Deeply scarred by Bondrewd's impact on their childhood, Nanachi is engulfed in turmoil over his resurgence in their life.

Bondrewd's only apparent weakness is Prushka, a brash child who claims to be his daughter. Riko, Reg, and Nanachi befriend Prushka and work with the girl to overcome her father's machinations and breach the Abyss's sixth layer.

[Written by MAL Rewrite]"
Made in Abyss: Retsujitsu no Ougonkyou,8.60,"Jul 6, 2022 to Sep 28, 2022","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",Web manga,TV,12,R - 17+ (violence & profanity),#115,#467,"536,743","6,891",https://myanimelist.net/images/anime/1864/122519.jpg,"After surviving the brutal challenges of Idofront, Riko now possesses a White Whistle, allowing her to descend into the Abyss's sixth layer—The Capital of the Unreturned. Alongside Reg and Nanachi, Riko begins to explore the uncharted domain, where the ruins of the promised Golden City are located.

As the trio starts to adapt to the harsh environment, they soon encounter dangerous creatures and treacherous landscapes. Their expedition leads them to a village inhabited by strange beings known as ""hollows."" Despite the creeping sense of unease that welcomes them, the three venture onward to uncover the mysteries of the settlement and long-lost legacies of the forgotten adventurers who once descended into the horrors of the unexplored Abyss.

[Written by MAL Rewrite]"
Dungeon Meshi,8.59,"Jan 4, 2024 to Jun 13, 2024","['Adventure', 'Comedy', 'Fantasy', 'Gourmet']",Manga,TV,24,R - 17+ (violence & profanity),#116,#433,"575,827","12,440",https://myanimelist.net/images/anime/1711/142478.jpg,"Adventuring knight Laios Touden leads a small party through a seemingly endless dungeon, a subterranean maze full of dangerous monsters and precarious traps. Through the use of advanced magic, an explorer can sometimes be resurrected, allowing them to learn from past mistakes and give traversing the dungeon another go. However, when a powerful dragon eats Falin, Laios' spellcasting sister, she sends her brother and his companions back to the beginning to save them from permanent ends.

Though strapped for cash and equipment, Laios resolves to fight his way through the dungeon and rescue Falin before she can be digested by the dragon. Despite some of Laios' allies abandoning him, two remain by his side: elven mage Marcille Donato and halfling locksmith Chilchuck Tims. Due to their lack of funds, the party faces the daunting prospect of starving before being able to complete their quest. However, they find salvation in Senshi, a dwarven warrior with a penchant for cooking and safely eating defeated monsters.

With Senshi's culinary expertise, Laios and his companions struggle through the dungeon while learning about gourmet dining—and each other—along the way.

[Written by MAL Rewrite]"
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59,"Jun 15, 2019","['Drama', 'Romance', 'Supernatural']",Light novel,Movie,1,PG-13 - Teens 13 or older,#117,#275,"817,810","11,220",https://myanimelist.net/images/anime/1613/102179.jpg,"Six months ago, Sakuta Azusagawa had a chance encounter with a bunny girl in a library. Ever since then, he's been blissfully happy with his girlfriend: Mai Sakurajima, that same bunny girl. However, the reappearance of his mysterious first crush, the now-adult Shouko Makinohara, adds a new complication to his relationship with Mai. To make matters worse, he then encounters a middle school Shouko in the hospital, suffering from a grave illness. Mysteriously, his old scars begin throbbing whenever he's near her.

With Shouko's bizarre situation somehow revolving around him, Sakuta will need to come to terms with his own conflicting feelings, for better or worse. With a girl's life in his hands, just what can he do?

[Written by MAL Rewrite]"
Suzumiya Haruhi no Shoushitsu,8.59,"Feb 6, 2010","['Award Winning', 'Mystery', 'Sci-Fi', 'Supernatural']",Light novel,Movie,1,PG-13 - Teens 13 or older,#118,#377,"648,202","14,263",https://myanimelist.net/images/anime/1248/112352.jpg,"On a cold December day, Kyon arrives at school prepared for another outing with his fellow SOS Brigade members. However, much to his surprise, he discovers that almost everything has changed completely: Haruhi Suzumiya and Itsuki Koizumi are nowhere to be found; Mikuru Asahina does not recognize him at all; Yuki Nagato is a regular human; and Ryouko Asakura has mysteriously returned. Although he is no stranger to the supernatural, Kyon is disturbed by this odd turn of events and decides to investigate on his own.

Finding himself to be the only person that is aware of the previous reality, Kyon is now faced with a difficult choice: to finally live the normal life he has always wanted, or uncover a way to turn back the hands of time and restore his chaotic yet familiar world.

[Written by MAL Rewrite]"
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,"Oct 6, 2018 to Jul 28, 2019","['Action', 'Adventure']",Manga,TV,39,R - 17+ (violence & profanity),#119,#144,"1,165,152","34,914",https://myanimelist.net/images/anime/1882/94989.jpg,"In the coastal city of Naples, corruption is teeming—the police blatantly conspire with outlaws, drugs run rampant around the youth, and the mafia governs the streets with an iron fist. However, various fateful encounters will soon occur.

Enter Giorno Giovanna, a 15-year-old boy with an eccentric connection to the Joestar family, who makes a living out of part-time jobs and pickpocketing. Furthermore, he is gifted with the unexplained Stand ability to give and create life—growing plants from the ground and turning inanimate objects into live animals, an ability he has dubbed ""Gold Experience."" Fascinated by the might of local gangsters, Giorno has dreamed of rising up in their ranks and becoming a ""Gang-Star,"" a feat made possible by his encounter with Bruno Bucciarati, a member of the Passione gang with his own sense of justice.

JoJo no Kimyou na Bouken: Ougon no Kaze follows the endeavors of Giorno after joining Bruno's team while working under Passione, fending off other gangsters and secretly plotting to overthrow their mysterious boss.

[Written by MAL Rewrite]"
Mushishi Zoku Shou: Suzu no Shizuku,8.58,"May 16, 2015","['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']",Manga,Movie,1,PG-13 - Teens 13 or older,#120,#1858,"140,903",235,https://myanimelist.net/images/anime/9/72689.jpg,"On a warm summer day, a boy heard the sound of bells ringing, as if in celebration, in the mountain near his home. Several years later in that same mountain, the mushishi Ginko encounters a strange girl with weeds growing out of her body. Soon after, Ginko coincidentally runs into the now grown-up boy Yoshiro on his way off the mountain. With Yoshiro's help, Ginko soon begins to uncover who this mysterious girl is and what happened to her.

An adaptation of the last arc in the manga, Mushishi Zoku Shou: Suzu no Shizuku follows Ginko's peculiar journey amidst the occult to unravel the mystery behind the enigmatic girl called Kaya and the mountain that has become her home.

[Written by MAL Rewrite]"
One Piece Fan Letter,9.02,"Oct 20, 2024","['Action', 'Adventure', 'Fantasy']",Light novel,TV Special,1,PG-13 - Teens 13 or older,#13,#1747,"152,086","2,566",https://myanimelist.net/images/anime/1455/146229.jpg,"Although the golden age of piracy is about to reach new heights, most people do not seek the glory of finding the elusive One Piece—a treasure signifying a new conqueror of all seas that was once embodied by the legendary King of the Pirates, Gol D. Roger. However, even if civilians generally despise pirates, they secretly cheer for at least one of them. 

One red-headed girl from Sabaody Archipelago is no exception: She reveres Nami, the ingenious female navigator of Monkey D. Luffy's Straw Hat crew. Determined to deliver a fan letter to her idol, the Sabaody child is prepared to challenge forces of authority who strive to prevent Luffy and his friends from departing for their next destination: the New World. But to succeed, Nami's fan may need to risk her life and interfere with the Marines' plans, potentially causing devastating consequences for the wider world.

[Written by MAL Rewrite]"
Natsume Yuujinchou Shichi,8.58,"Oct 8, 2024 to Dec 24, 2024","['Slice of Life', 'Supernatural']",Manga,TV,12,PG-13 - Teens 13 or older,#121,#3295,"58,135",529,https://myanimelist.net/images/anime/1270/145168.jpg,"As a young child, Takashi Natsume believed his ability to see youkai to be nothing but a curse. Now a high school student, Natsume has managed to heal from his old wounds and form unbreakable bonds with humans and youkai alike. Natsume's newfound friendships—including the one with his spirit bodyguard Madara, nicknamed ""Nyanko-sensei""—are often interlaced with his duty to return the names of the spirits written inside the Book of Friends, his late grandmother Reiko's keepsake. While more remarkable youkai reach out to him, Natsume discovers that he still has much to learn about the world that surrounds him.

[Written by MAL Rewrite]"
Shin Evangelion Movie:||,8.58,"Mar 8, 2021","['Award Winning', 'Drama', 'Sci-Fi', 'Suspense']",Original,Movie,1,PG-13 - Teens 13 or older,#122,#637,"423,401","8,271",https://myanimelist.net/images/anime/1422/113533.jpg,"Following NERV's failed attempt to retrieve the Spears of Longinus and carry out the Human Instrumentality Project, the destruction caused by the Fourth Impact has been largely averted. In a state of disarray, Shinji Ikari, Asuka Langley Shikinami, and Rei Ayanami travel to Village 3—a survivor settlement free from Earth's ruination. There, Shinji slowly comes to terms with his past, developing an entirely different life from his days as an Evangelion pilot.

Meanwhile, NERV makes preparations to continue the Instrumentality Project by means of a new Impact. When WILLE's main aerial battleship arrives at the village, Shinji decides to board, believing that he can help by piloting an Evangelion. As new secrets are uncovered and a battle between WILLE and NERV approaches, the future of Earth hangs in the balance. Can Shinji save humanity and the rest of the world one last time?

[Written by MAL Rewrite]"
Uma Musume: Cinderella Gray,8.58,"Apr 6, 2025 to Jun 29, 2025","['Drama', 'Sports']",Manga,TV,13,PG-13 - Teens 13 or older,#123,#2412,"98,165","1,488",https://myanimelist.net/images/anime/1626/148097.jpg,"Tokyo is the home of national-level horse girls and the next generation of running prodigies. Jou Kitahara, a rookie trainer with big dreams and modest expectations, does not expect to find talent in the quiet town of Kasamatsu—until he meets an ash-gray-haired girl with a wild, unconventional stride.

As a child with bad knees, Oguri Cap spent much of her early life in pain, struggling to stand. But through relentless perseverance, she overcame her limits and found liberation in the very thing that once seemed impossible: running. While the other horse girls at Kasamatsu chase victory and fame, Oguri runs without ambition, driven only by the joy of movement.

Fujimasa March, a rising regional star, commands attention with her discipline, talent, and tenacity. For her, running is a matter of pride. But when a school-organized race brings her face-to-face with Oguri's raw, unpolished stride, March's confidence begins to waver. In turn, something in Oguri shifts after racing March. For the first time, a spark of ambition ignites within her—a desire to win that will take her beyond the confines of her hometown to the grand stages waiting on the horizon.

[Written by MAL Rewrite]"
Nana,8.57,"Apr 5, 2006 to Mar 28, 2007","['Drama', 'Romance']",Manga,TV,47,R+ - Mild Nudity,#124,#295,"778,189","35,333",https://myanimelist.net/images/anime/2/11232.jpg,"Departing from their respective hometowns, two young women with identical names are brought together in their pursuit of new beginnings. With their hearts set on going to Tokyo, Nana Komatsu dreams about blissful love, while Nana Osaki aims for a successful music career.

The former has a cheerful and friendly nature, but her naivety has steered her romantic life astray until she meets her dependable boyfriend—Shouji Endo. Without letting herself be dismayed by Shouji's decision to study in Tokyo, Nana works hard to earn enough money and follow him there. Meanwhile, her namesake is a solitary punk vocalist whose impassioned romance with her band's bassist, Ren Honjou, comes to a sudden end. Though heartbroken, Nana bravely looks forward and travels to the capital with the ambition of becoming a recognized artist.

Shortly after they arrive in Tokyo, the girls cross paths again due to an unexpected coincidence that ultimately leads them to live under the same roof. As they grow closer, the two strive to support one another amid their struggles to forge a future for themselves.

[Written by MAL Rewrite]"
Shingeki no Kyojin,8.57,"Apr 7, 2013 to Sep 29, 2013","['Action', 'Award Winning', 'Drama', 'Suspense']",Manga,TV,25,R - 17+ (violence & profanity),#125,#1,"4,342,739","188,280",https://myanimelist.net/images/anime/10/47347.jpg,"Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called Titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal Titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations.

After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Eren, his adopted sister Mikasa Ackerman, and his childhood friend Armin Arlert join the brutal war against the Titans and race to discover a way of defeating them before the last walls are breached.

[Written by MAL Rewrite]"
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.57,"Jul 19, 1997","['Avant Garde', 'Drama', 'Sci-Fi', 'Suspense']",Original,Movie,1,R+ - Mild Nudity,#126,#179,"1,038,318","32,322",https://myanimelist.net/images/anime/1404/98182.jpg,"Shinji Ikari is left emotionally comatose after the death of a dear friend. With his son mentally unable to pilot the humanoid robot Evangelion Unit-01, Gendou Ikari's NERV races against the shadow organization SEELE to see who can enact their ultimate plan first. SEELE desires to create a godlike being by fusing their own souls into an Evangelion unit, while Gendou wishes to revert all of humanity into one primordial being so that he can be reunited with Yui, his deceased wife.

SEELE unleashes its military forces in a lethal invasion of NERV headquarters. As SEELE's forces cut down NERV's scientists and security personnel, Asuka Langley Souryuu pilots Evangelion Unit-02 in a desperate last stand against SEELE's heaviest weaponry.

The battle rages on, and a depressed Shinji hides deep within NERV's headquarters. With the fate of the world resting in Shinji's hands, Captain Misato Katsuragi hunts for the teenage boy as society crumbles around them.

[Written by MAL Rewrite]"
